"id","screens_id","selection","hideflg","seqno","rowpos","colpos","width","type","dataprecision","datascale","indisp","subindisp","editable","maxvalue","minvalue","edoptsize","edoptmaxlength","edoptrow","edoptcols","edoptvalue","sumkey","crtfield","expiredate","remark","persons_id_upd","update_ip","created_at","updated_at","pobjects_id_sfd","tblfields_id","paragraph","formatter","contents"
216065,164,0,1,0,0,0,0,"number",0,0,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms opeitm_unit_id_case_pur",0,,2019/07/14,2019/07/14,16625,2642,"",,
160848,164,0,0,9999,,,0,"number",7,2,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,13934,11890,,,
160858,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,100,100,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,13947,2027,,,
160846,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,13954,11907,,,
160898,164,0,0,9999,,,120,"varchar",0,0,0,0,0,0,0,20,20,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2666,4922,,,
186355,164,1,0,9999,,,24,"char",0,0,0,0,0,0,0,4,4,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/07/04 23:06:15,2016/07/04 23:06:15,15967,5035,,,
160833,164,1,0,9999,,,6,"char",0,0,0,0,0,0,0,1,1,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,10123,8742,,,
160856,164,0,1,9999,,,0,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,13944,2025,,,
24318,164,1,0,9999,,2,60,"varchar",0,0,0,0,0,0,0,10,10,0,0,,,,2099/12/31,"auto_crt",0,,2014/06/18 21:40:32.081,2014/06/25 3:50:59.646,475,2027,,,
160778,164,1,0,9999,,,132,"number",0,0,0,0,0,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:10,2016/03/27 17:38:10,15346,1002,,,
