"ID","POBJECTS_ID_TBL","REMARK","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","EXPIREDATE","UPDATED_AT","SELTBLS","CONTENTS"
2861,7141,"undefined",0,"127.0.0.1",2014/09/26 21:53:31.314,2099/12/31,2015/03/14 12:47:10.735,"undefined","作業現場からの日程の取り込みを想定している。"
2880,8384,"test",0,"127.0.0.1",2014/10/22 22:46:11.486,2099/12/31,2016/11/13 23:46:53,"undefined","xxxschsからxxxordsを作成複数のschsをまとめてordsを作成する。orgtblname,paretblnameは固定し、それ毎にscreen画面を作成する。mkordに関しては追加のみ。修正削除はできない。"
2940,9122,,0,"127.0.0.1",2014/11/03 18:03:01.253,2099/12/31,2014/11/03 18:03:01.253,,"印刷履歴　単独では削除しないこと　相手とともに削除する。"
2960,8901,,0,"127.0.0.1",2014/11/25 21:14:25.226,2099/12/31,2014/11/25 21:14:25.226,,
2980,9403,,0,"127.0.0.1",2014/11/27 19:38:18.987,2099/12/31,2014/11/27 19:38:18.987,,"xxxordsからxxxinstsを作成"
3060,9723,"undefined",0,"127.0.0.1",2014/12/26 22:52:34.534,2099/12/31,2015/11/14 14:48:59,"undefined","受入既に在庫が使用されているときは、数量減、削除は、在庫数までしかできない。"
3080,9941,"undefined",0,"127.0.0.1",2015/01/02 23:04:46.717,2000/12/31,2015/05/17 18:11:52.639,"undefined","中止レイアウト統一後の業者納期回答sno_trn(外部からのkey)とsno_ord(xxxordsのkey)は必須回答からxxxinstsに引き継げる項目は、数量、納期、コメントのみ業者ごとにレイアウトは異なることを想定tblname tblidにオリジナルなテーブルがある。"
3101,10026,"undefined",0,"127.0.0.1",2015/01/10 10:30:07.117,2099/12/31,2016/12/29 0:16:39,"undefined","棚番マスタ作業場での棚番はない。またテーブルlocasにはshelfnos_idがある。このためid = 0のレコードは必須"
3140,10065,"undefined",0,"127.0.0.1",2015/01/10 22:40:57.115,2099/12/31,2015/03/19 15:50:05.342,"undefined","insts:mkacts = 1:n mkacts:acts= 1:1"
3160,10215,,0,"127.0.0.1",2015/01/26 22:00:54.513,2099/12/31,2015/01/26 22:00:54.513,,"単価マスタ"
3161,1801,,0,"127.0.0.1",2015/01/28 23:35:46.317,2099/12/31,2015/01/28 23:35:46.317,,"納品場所"
3180,10641,,0,"127.0.0.1",2015/02/26 23:38:11.717,2099/12/31,2015/02/26 23:38:11.717,,"・custschsから　xxxestsを作成　　freeの在庫、order等には引当てない。・custestsとcustordsの紐つけkey anoを用意する。  ・custordsが登録された時は、custschsから 　所要数を減する。 "
3200,10721,"undefined",0,"127.0.0.1",2015/02/28 20:55:08.397,2099/12/31,2015/02/28 20:59:00.743,"undefined","購買予想"
3201,10722,"undefined",0,"127.0.0.1",2015/02/28 20:55:21.695,2099/12/31,2015/02/28 20:59:24.092,"undefined","作業予想"
3202,10723,"undefined",0,"127.0.0.1",2015/02/28 20:55:30.175,2099/12/31,2015/02/28 20:59:49.340,"undefined","出庫予想"
3203,10724,"undefined",0,"127.0.0.1",2015/02/28 20:57:28.994,2099/12/31,2015/02/28 21:14:05.808,"undefined","予想ｔｒｎ作成"
3220,11003,"undefined",0,"127.0.0.1",2015/03/21 11:33:26.436,2099/12/31,2015/12/06 20:23:51,"undefined","支払先マスタ　支払条件設定マスタ"
3240,11021,"undefined",0,"127.0.0.1",2015/03/21 13:49:22.690,2099/12/31,2015/03/21 13:49:22.690,"undefined","undefined"
3241,11022,"undefined",0,"127.0.0.1",2015/03/21 13:49:40.411,2099/12/31,2015/03/21 13:49:40.411,"undefined","undefined"
3242,11023,"undefined",0,"127.0.0.1",2015/03/21 13:49:55.570,2099/12/31,2015/03/21 13:49:55.570,"undefined","undefined"
3243,11024,"undefined",0,"127.0.0.1",2015/03/21 13:50:14.331,2099/12/31,2015/03/21 13:50:14.331,"undefined","undefined"
3244,11025,"undefined",0,"127.0.0.1",2015/03/21 13:50:55.995,2099/12/31,2016/01/11 19:52:39,"undefined","入金予定"
3245,11026,"undefined",0,"127.0.0.1",2015/03/21 13:51:06.357,2099/12/31,2016/01/20 21:44:15,"undefined","請求 案1   売上時　billords　請求時　billinsts   入金時　billacts　　　手形はどうする。案2   売上時　billschs  請求時　billords   手形　insts   現金　billacts"
3246,11028,"undefined",0,"127.0.0.1",2015/03/21 13:51:30.532,2099/12/31,2016/01/10 23:14:41,"undefined","入金"
3260,11121,"undefined",0,"127.0.0.1",2015/03/22 10:43:04.213,2099/12/31,2015/03/22 10:43:04.213,"undefined","undefined"
3280,11201,"undefined",0,"127.0.0.1",2015/03/25 21:40:03.276,2099/12/31,2015/03/25 21:40:03.276,"undefined","検査予定"
3281,11202,"undefined",0,"127.0.0.1",2015/03/25 21:40:32.589,2099/12/31,2016/09/24 5:02:06,"undefined","検収予定payで対応したほうが良い?"
3300,11302,"undefined",0,"127.0.0.1",2015/04/12 0:46:58.747,2099/12/31,2015/04/12 0:46:58.747,"undefined","担当者テーブル"
3320,11405,"undefined",0,"127.0.0.1",2015/04/12 17:36:35.638,2099/12/31,2015/04/12 17:36:35.638,"undefined","undefined"
3340,11885,"undefined",0,"127.0.0.1",2015/05/10 12:42:26.891,2000/01/01,2016/06/04 10:04:11,"undefined","中止画面から納期回答の入力中止　prd,pur,shp毎に回答画面作成"
