"ID","STRSELECT","STRWHERE","STRGROUPORDER","YMLCODE","CDRFLAYOUT","EXPIREDATE","REMARK","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","UPDATED_AT","POBJECTS_ID_SCR","POBJECTS_ID_VIEW","ROWS_PER_PAGE","ROWLIST","HEIGHT","FORM_PS","GRPCODENAME","SCRLVS_ID","CONTENTS","STRORDER"
681,,"( alloctbl_qty_inout != 0 or alloctbl_qty_stk_inout != 0 ) and alloctbl_allocfree_inout in('alloc','free')",,,,2099/12/31,"auto_crt",0,"127.0.0.1",2014/07/15 20:28:00,2017/06/23 1:51:45,6978,6979,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","L2",0,,
701,,,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2014/07/16 21:21:00,2015/07/26 9:36:59.236,6999,7000,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","Z1ルール・バグ",0,,
721,,,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2014/07/19 11:09:00,2015/07/26 9:36:59.246,7079,7080,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","Z2ルール・バグ",0,"日曜大工的ERPの使用規則",
741,,,,"undefined",,2001/01/01,"auto_crt",0,"127.0.0.1",2014/07/19 12:00:00,2017/06/25 21:29:28,8402,8403,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","M2",0,,
761,,,,,,2099/12/31,,0,"127.0.0.1",2014/07/26 7:33:00,2015/07/26 9:36:58.057,7137,7138,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500	 ","D1trn製造",0,"製造指示予定",
762,," pursch_qty  != 0",,,,2099/12/31,"undefined",0,"127.0.0.1",2014/07/26 7:36:00,2015/11/03 0:37:37,7185,7186,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500	 ","F1trn購買",0,,
801,,,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2014/08/06 21:08:00,2015/07/26 9:36:59.061,7381,7382,50,"50,250,1000,10000",700,"top:100,left:50,width:1200,height:600,dataheight:500","UAsystem ",0,,
821,,,,,,2099/12/31,,0,"127.0.0.1",2014/08/10 15:14:00,2015/07/26 9:36:57.467,7441,7442,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","18",0,,
841,,,"order by pobject_code_tbl","undefined",,2099/12/31,"auto_crt",0,"127.0.0.1",2014/09/14 13:27:00,2017/08/09 21:07:55,7804,7803,50,"50,250,1000,10000",100,"top:100,left:50,width:1200,height:600,dataheight:500","a0system ",0,"各種基準日の日付"," pobject_code_tbl"
881,,,,"undefined",,2099/12/31,"auto",0,"127.0.0.1",2014/09/24 20:52:38.753,2017/08/11 9:57:01,8001,8002,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","M9",0,"使用中止  ==> 2015/09 再利用",
901,,,,"undefined",,2099/12/31,"auto",0,"127.0.0.1",2014/10/12 17:34:00,2015/08/02 18:09:27.500,9473,8002,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","#",0,,
902,,,,"undefined",,2099/12/31,"auto",0,"127.0.0.1",2014/10/12 17:35:00,2015/08/02 18:09:20.367,8262,8002,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","#",0,,
921,,,,"undefined",,2099/12/31,"auto_crt",0,"127.0.0.1",2014/10/24 17:30:00,2017/06/25 22:58:46,8441,8442,50,"50,250,1000,10000",200,"top:100,left:50,width:1400,height:700,dataheight:600","O2バッチ処理",0,"mkordに関しては追加のみ。修正削除はできない。",
941,,,"order by alloctbl_srctblname,allloc_srctblid",,,2099/12/31,"undefined",0,"127.0.0.1",2014/11/01 14:44:00,2017/08/09 21:07:09,8922,8921,50,"50,250,1000,10000",100,"top:100,left:50,width:1200,height:600,dataheight:500","TA",0,," alloctbl_srctblname,allloc_srctblid"
961,,,,,,2099/12/31,"undefined",0,"127.0.0.1",2014/11/24 13:01:00,2015/07/26 9:36:58.072,7142,7143,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500	 ","D2trn製造",0,"製造指示予定",
981,,,,,,2001/01/01,"auto_crt",0,"127.0.0.1",2014/11/27 20:35:00,2017/06/25 21:29:35,9407,9406,50,"50,250,1000,10000",200,"top:100,left:50,width:1400,height:600,dataheight:500","M3",0,,
1001,,,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2014/11/30 16:44:00,2015/07/26 9:36:58.179,9440,9439,50,"50,250,1000",200,"top:100,left:50,width:1200,height:600,dataheight:500","F3trn購買",0,,
1081,,,,,,2099/12/31,"auto",0,"127.0.0.1",2014/12/23 16:03:00,2015/08/02 18:09:54.556,9701,8002,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","#",0,,
1101,,,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2014/12/27 14:35:00,2015/07/26 9:36:58.279,9743,9742,50,"50,250,1000",200,"top:100,left:50,width:1200,height:600,dataheight:500","F9trn購買",0,,
1121,,"( lotstkhist_qty != 0 or  lotstkhist_qty_stk != 0 )",,,,2099/12/31,"auto_crt",0,"127.0.0.1",2014/12/28 11:32:00,2017/08/05 21:51:30,7182,7183,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","L3",0,,
