"ID","REMARK","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","EXPIREDATE","UPDATED_AT","CODE","CONTENTS","OBJECTTYPE"
474,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_updated_at",,"view_field"
475,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"unit_name",,"view_field"
476,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobject_id",,"view_field"
478,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"updperson_code_upd",,"view_field"
479,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"itm_wide",,"view_field"
480,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_edoptrow",,"view_field"
481,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_country",,"view_field"
482,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"button_person_id_upd",,"view_field"
483,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_addr1_custs",,"view_field"
484,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"updperson_id_upd",,"view_field"
485,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"itm_updated_at",,"view_field"
486,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobject_created_at",,"view_field"
487,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"screen_viewname",,"view_field"
488,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"itm_person_id_upd",,"view_field"
490,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobject_datapresion",,"view_field"
492,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"billing_created_at",,"view_field"
493,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"usergroup_updated_at",,"view_field"
495,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"unit_code",,"view_field"
496,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"button_updated_at",,"view_field"
497,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_addr1_billings",,"view_field"
499,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_code",,"view_field"
500,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_listoptions",,"view_field"
501,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_editable",,"view_field"
503,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"screen_code",,"view_field"
504,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_seqno",,"view_field"
506,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_update_ip",,"view_field"
507,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobjgrp_created_at",,"view_field"
508,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_type",,"view_field"
509,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"itm_length",,"view_field"
510,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"cust_remark",,"view_field"
511,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"updperson_name_upd",,"view_field"
512,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_abbr_billings",,"view_field"
513,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobject_person_id_upd",,"view_field"
514,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_zip",,"view_field"
515,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"usergroup_code_upd",,"view_field"
517,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobjgrp_name",,"view_field"
518,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobjgrp_update_ip",,"view_field"
519,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_fax_custs",,"view_field"
520,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"cust_loca_id_billings",,"view_field"
521,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobject_code",,"view_field"
522,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_subindisp",,"view_field"
523,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobject_objecttype",,"view_field"
524,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_code",,"view_field"
526,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"screen_expiredate",,"view_field"
527,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_edoptcols",,"view_field"
528,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_country_custs",,"view_field"
529,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"currency_updated_at",,"view_field"
530,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_name",,"view_field"
531,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"billing_expiredate",,"view_field"
532,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_edoptinputsize",,"view_field"
533,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_datascale",,"view_field"
536,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_person_id_upd",,"view_field"
537,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobject_datascale",,"view_field"
538,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_addr1",,"view_field"
539,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"screen_name",,"view_field"
540,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_mail_billings",,"view_field"
541,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_created_at",,"view_field"
542,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"person_email_upd",,"view_field"
543,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"currency_update_ip",,"view_field"
544,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_addr2_billings",,"view_field"
545,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_tblkey",,"view_field"
546,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"currency_name",,"view_field"
547,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_abbr_custs",,"view_field"
548,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobject_remark",,"view_field"
549,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_sumkey",,"view_field"
550,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"cust_loca_id_custs",,"view_field"
551,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_indisp",,"view_field"
